Timestamp,Sea,Time slot,Leaderboard,Time slot,Leaderboard
2015/03/10,EASTERN_MEDITERANEAN_SEA,BEFORE_NOON,C20;,AFTER_NOON,C20;D20;
2015/03/10,WESTERN_MEDITERANEAN_SEA,BEFORE_NOON,D1;,AFTER_NOON,D1;C1;
2015/03/17,WESTERN_MEDITERANEAN_SEA,BEFORE_NOON,D1;,AFTER_NOON,D1;
2015/03/17,EASTERN_MEDITERANEAN_SEA,BEFORE_NOON,C20;D20;G33;,AFTER_NOON,B18;C20;G33;
2015/03/24,EASTERN_MEDITERANEAN_SEA,BEFORE_NOON,C20;D20;,AFTER_NOON,C20;E31;F31;
2015/03/24,WESTERN_MEDITERANEAN_SEA,BEFORE_NOON,D1;,AFTER_NOON,D1;
2015/03/31,WESTERN_MEDITERANEAN_SEA,BEFORE_NOON,D1;D2;,AFTER_NOON,D1;D2;
2015/03/31,EASTERN_MEDITERANEAN_SEA,BEFORE_NOON,C20;C31;C30;,AFTER_NOON,C20;D30;C31;
2015/04/07,WESTERN_MEDITERANEAN_SEA,BEFORE_NOON,D1;F8;F9;,AFTER_NOON,D1;F9;D2;
2015/04/07,EASTERN_MEDITERANEAN_SEA,BEFORE_NOON,C20;D20;D19;,AFTER_NOON,C20;D20;A28;
2015/04/14,WESTERN_MEDITERANEAN_SEA,BEFORE_NOON,F9;D1;C1;,AFTER_NOON,F9;D1;H8;
2015/04/14,EASTERN_MEDITERANEAN_SEA,BEFORE_NOON,C20;D20;G33;,AFTER_NOON,C20;D20;G33;
2015/04/21,WESTERN_MEDITERANEAN_SEA,BEFORE_NOON,F9;D1;D2;,AFTER_NOON,F9;D1;D2;
2015/04/21,EASTERN_MEDITERANEAN_SEA,BEFORE_NOON,C20;G33;D20;,AFTER_NOON,C20;G33;D20;
2015/04/28,WESTERN_MEDITERANEAN_SEA,BEFORE_NOON,F9;J14;F8;,AFTER_NOON,J14;H8;F9;
2015/04/28,EASTERN_MEDITERANEAN_SEA,BEFORE_NOON,C20;D20;G33;,AFTER_NOON,C20;D20;G33;
2015/05/05,EASTERN_MEDITERANEAN_SEA,BEFORE_NOON,C20;D20;G33;,AFTER_NOON,C20;D20;G33;
2015/05/05,WESTERN_MEDITERANEAN_SEA,BEFORE_NOON,F9;F8;H8;,AFTER_NOON,H8;F8;G8;
2015/05/12,WESTERN_MEDITERANEAN_SEA,BEFORE_NOON,F9;F8;H8;,AFTER_NOON,F8;H8;F7;
2015/05/12,EASTERN_MEDITERANEAN_SEA,BEFORE_NOON,G33;C20;D20;,AFTER_NOON,G33;C20;D20;
